"overall","State","gunsPerCapita","gunsRegistered","Pop"
1,"Wyoming","229.2400",132806,572381
2,"District of Columbia","68.0500",47228,711571
3,"New Hampshire","46.7600",64135,1363852
4,"New Mexico","46.7300",97580,2096034
5,"Virginia","36.3400",307822,8571946
6,"Alabama","33.1500",161641,4898246
7,"Idaho","28.8600",49566,1790182
8,"Arkansas","26.5700",79841,3026412
9,"Nevada","25.6400",76888,3087025
10,"Arizona","25.6100",179738,7275070
11,"Louisiana","24.9400",116831,4652581
12,"South Dakota","24.2900",21130,892631
13,"Utah","23.4800",72856,3221610
14,"Connecticut","22.9600",82400,3567871
15,"Alaska","21.3800",15824,735720
16,"Montana","21.0600",22133,1074532
17,"South Carolina","21.0100",105601,5147111
18,"Texas","20.7900",588696,29087070
19,"West Virginia","19.4200",35264,1791951
20,"Pennsylvania","18.4500",236377,12813969
21,"Georgia","18.2200",190050,10627767
22,"Kentucky","18.2000",81068,4484047
23,"Oklahoma","18.1300",71269,3948950
24,"Kansas","18.0600",52634,2910931
25,"North Dakota","17.5600",13272,760900
26,"Indiana","17.1000",114019,6718616
27,"Maryland","17.0300",103109,6062917
28,"Colorado","16.4800",92435,5770545
29,"Florida","16.3500",343288,21646155
30,"Ohio","14.8700",173405,11718568
31,"North Carolina","14.8180",152238,10497741
32,"Oregon","14.8160",61383,4245901
33,"Tennessee","14.7600",99159,6833793
34,"Minnesota","14.2200",79307,5655925
35,"Washington","12.4000",91835,7666343
36,"Missouri","11.9400",72996,6147861
37,"Mississippi","11.8900",35494,2987895
38,"Nebraska","11.5700",22234,1940919
39,"Maine","11.5000",15371,1342097
40,"Illinois","11.4400",146487,12700381
41,"Wisconsin","11.1900",64878,5832661
42,"Vermont","9.4100",5872,627180
43,"Iowa","9.0500",28494,3167997
44,"California","8.7100",344622,39747267
45,"Michigan","6.5900",65742,10020472
46,"New Jersey","6.3800",57507,8922547
47,"Hawaii","5.5000",7859,1416589
48,"Massachusetts","5.4100",37152,6939373
49,"Delaware","5.0400",4852,975033
50,"Rhode Island","3.9800",37152,1056738
51,"New York","3.8300",76207,19491339
